epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.072,0.49728,5.44637,0.96654,0.41006,0.17313,0.12087,0.12038,0.27937,8.25181,0.83934,5.831e-05,5.831e-05,5.831e-05
2,308.588,0.437,2.9832,0.9312,0.23879,0.26797,0.16131,0.15601,0.29506,4.96168,0.82124,0.000123183,0.000123183,0.000123183
3,454.276,0.42276,2.17945,0.88743,0.2403,0.40772,0.20913,0.19981,0.34763,3.98516,0.8267,0.000186171,0.000186171,0.000186171
4,929.82,0.3309,1.70798,0.833,0.44088,0.7507,0.55461,0.53596,0.28274,2.34928,0.80885,0.000247274,0.000247274,0.000247274
5,1074.05,0.32449,1.52695,0.83898,0.48878,0.79621,0.64088,0.62404,0.27453,2.62492,0.81494,0.000306492,0.000306492,0.000306492
6,1215.43,0.34986,1.29722,0.84013,0.5638,0.81849,0.7263,0.69461,0.31868,2.12109,0.81833,0.000363825,0.000363825,0.000363825
7,2287.33,0.36839,1.24016,0.83068,0.56616,0.68611,0.70127,0.66454,0.312,1.91021,0.82791,0.000419273,0.000419273,0.000419273
8,2430.68,0.35235,1.08206,0.84461,0.6625,0.78953,0.75571,0.73117,0.32178,1.57346,0.83079,0.000472836,0.000472836,0.000472836
9,2684.46,0.32331,0.91741,0.82722,0.59462,0.84777,0.76407,0.74404,0.31613,1.16664,0.82665,0.000524514,0.000524514,0.000524514
10,2827.83,0.35315,0.78585,0.83526,0.66887,0.82831,0.8063,0.77531,0.3238,1.10227,0.82154,0.000574307,0.000574307,0.000574307
11,3045.97,0.37832,0.85001,0.84625,0.57881,0.61801,0.6944,0.66261,0.31397,1.56293,0.8205,0.000622215,0.000622215,0.000622215
12,3302.87,0.33905,0.75027,0.83173,0.68805,0.77513,0.78511,0.75057,0.32143,1.15228,0.81874,0.000668239,0.000668239,0.000668239
13,3444.31,0.34231,0.68738,0.82933,0.70283,0.88831,0.86937,0.84071,0.28711,0.99037,0.80187,0.000691628,0.000691628,0.000691628
14,3586.43,0.34091,0.64632,0.83414,0.76778,0.8173,0.86159,0.83209,0.28845,0.91191,0.80245,0.000679847,0.000679847,0.000679847
15,3727.97,0.35557,0.73716,0.82623,0.72851,0.83959,0.85667,0.81902,0.32512,1.20969,0.81415,0.000668066,0.000668066,0.000668066
16,4041.37,0.36065,0.74337,0.84554,0.6955,0.8568,0.84047,0.81155,0.29046,0.92811,0.80452,0.000656285,0.000656285,0.000656285
17,4182.85,0.31961,0.61734,0.83986,0.81005,0.89587,0.92074,0.88614,0.29968,0.65368,0.80718,0.000644504,0.000644504,0.000644504
18,12992.7,0.32992,0.58432,0.83493,0.75943,0.8474,0.86217,0.83221,0.28963,0.99385,0.80124,0.000632723,0.000632723,0.000632723
19,13114,0.33905,0.59506,0.83787,0.7598,0.75818,0.8432,0.80923,0.29222,0.97852,0.80787,0.000620942,0.000620942,0.000620942
20,13268.2,0.32355,0.5224,0.82474,0.7204,0.88127,0.8846,0.82867,0.31083,0.8801,0.80495,0.000609161,0.000609161,0.000609161
21,13394.1,0.31296,0.4923,0.82077,0.76902,0.82807,0.86896,0.83952,0.30253,0.81791,0.80296,0.00059738,0.00059738,0.00059738
22,13524.6,0.32285,0.51692,0.82863,0.81521,0.78955,0.8537,0.83165,0.27643,0.9364,0.80048,0.000585599,0.000585599,0.000585599
23,13780.7,0.33078,0.473,0.81643,0.79612,0.93199,0.8985,0.88006,0.27312,0.63887,0.79501,0.000573818,0.000573818,0.000573818
24,13896.7,0.31132,0.48242,0.82055,0.80599,0.91741,0.91539,0.8858,0.26833,0.62745,0.7986,0.000562037,0.000562037,0.000562037
25,14020.6,0.29332,0.40464,0.82286,0.78387,0.75354,0.80429,0.79233,0.24828,1.28632,0.79846,0.000550256,0.000550256,0.000550256
26,14140,0.29461,0.44974,0.8234,0.84541,0.88599,0.94176,0.92494,0.26272,0.60615,0.79659,0.000538475,0.000538475,0.000538475
27,14256.8,0.30789,0.47396,0.82312,0.83683,0.88064,0.94581,0.93116,0.26479,0.58803,0.79997,0.000526694,0.000526694,0.000526694
28,14377.3,0.30314,0.43002,0.8328,0.81226,0.89548,0.95803,0.94516,0.23394,0.64808,0.79664,0.000514913,0.000514913,0.000514913
29,14495,0.28281,0.40273,0.81364,0.87243,0.87912,0.93666,0.92283,0.24193,0.64815,0.79594,0.000503132,0.000503132,0.000503132
30,14612.2,0.28536,0.37748,0.81576,0.876,0.83985,0.9487,0.93362,0.23773,0.6437,0.79533,0.000491351,0.000491351,0.000491351
31,14740.7,0.28559,0.39851,0.81024,0.87959,0.91526,0.95567,0.94476,0.23419,0.51332,0.79719,0.00047957,0.00047957,0.00047957
32,15080.4,0.28072,0.39566,0.8255,0.86916,0.90536,0.9453,0.93451,0.24598,0.50984,0.79948,0.000467789,0.000467789,0.000467789
33,15654.5,0.27287,0.39544,0.81796,0.86981,0.88338,0.96075,0.9452,0.23657,0.4831,0.79688,0.000456008,0.000456008,0.000456008
34,15766.6,0.29033,0.34707,0.82795,0.86599,0.90932,0.96111,0.95152,0.22925,0.53071,0.79425,0.000444227,0.000444227,0.000444227
35,17799.4,0.27169,0.35928,0.80224,0.86661,0.96449,0.97717,0.96687,0.23755,0.38044,0.79695,0.000432446,0.000432446,0.000432446
36,17938.2,0.27537,0.32331,0.82247,0.92083,0.91601,0.98081,0.97021,0.24859,0.39932,0.80076,0.000420665,0.000420665,0.000420665
37,18053.7,0.28395,0.35461,0.81725,0.89817,0.94418,0.98469,0.97167,0.24357,0.38897,0.80026,0.000408884,0.000408884,0.000408884
38,18170.2,0.28101,0.34651,0.81421,0.88504,0.97534,0.97799,0.96533,0.23894,0.35747,0.79858,0.000397103,0.000397103,0.000397103
39,18287.8,0.2725,0.35758,0.82584,0.88502,0.92251,0.96291,0.94478,0.24902,0.47494,0.80125,0.000385322,0.000385322,0.000385322
